treatment,display_label,subgroup,metric,n_kept,kept_pct,treated_prop,treated_kept,control_kept,ATE,CI_lower,CI_upper,StdErr,ATE_pct,CI_lower_pct,CI_upper_pct,p_value,q_value_bh,GATES_lift,GATES_bot_mean,GATES_top_mean
seller_N_Tvalue_Gaslimit_11vs00,Combination — Seller N High — Total Value + Gas Limit,Combination — Seller N High,Total Value + Gas Limit,2200,100,0.5,1100,1100,-0.216377660356468,-0.330254100537073,-0.102501220175864,0.0581002245819412,-19.4568934955134,-28.1258922267415,-9.74229515504759,0.000195924807520901,0.000326541345868168,9.51688749652677,-23.989209354793,-14.4723218582662
seller_N_Tvalue_Gaspaid_11vs00,Combination — Seller N High — Total Value + Gas Paid,Combination — Seller N High,Total Value + Gas Paid,2782,100,0.5,1391,1391,0.0261063068223606,-0.040679288986861,0.0928919026315821,0.0340742835761334,2.64500613179499,-3.98629929123394,9.73431089542718,0.443581913781039,0.482154254109825,7.65873346939813,-1.16771951984009,6.49101394955804
seller_N_Gaslimit_given_TvalueHigh,Combination — Seller N High — Gas Limit | Total Value,Combination — Seller N High,Gas Limit | Total Value,2103,100,0.523062291963861,1100,1003,0.0663876826622811,-0.0166878472392947,0.149463212563857,0.0423854744395795,6.86409304300866,-1.65493764463386,16.1210752059856,0.117282188021241,0.146602735026551,5.18972827973668,3.93890714135122,9.12863542108789
seller_N_Gaspaid_given_TvalueHigh,Combination — Seller N High — Gas Paid | Total Value,Combination — Seller N High,Gas Paid | Total Value,2103,100,0.661436043747028,1391,712,0.18392618909464,0.101494831793256,0.266357546396024,0.0420568149496857,20.1927104494382,10.6824198080868,30.5201645413157,1.22394094773131e-05,2.35373259179098e-05,11.5691243970039,14.5385294070268,26.1076538040308
seller_N_1_Tvalue_Gaslimit_11vs00,Combination — Seller N-1 High — Total Value + Gas Limit,Combination — Seller N-1 High,Total Value + Gas Limit,2640,100,0.5,1320,1320,-0.277096354175198,-0.387051095836487,-0.167141612513909,0.0560993579904535,-24.2018541086492,-32.0943602914444,-15.3920212632555,7.83691535217195e-07,1.63269069836916e-06,15.8776831147016,-32.2583191329672,-16.3806360182656
seller_N_1_Tvalue_Gaspaid_11vs00,Combination — Seller N-1 High — Total Value + Gas Paid,Combination — Seller N-1 High,Total Value + Gas Paid,2972,100,0.500336473755047,1487,1485,-0.0149210026527554,-0.0834459163637328,0.053603911058222,0.034961690668866,-1.48102360930534,-8.00591609284433,5.5066619160635,0.669538485192796,0.684455198599648,6.49077282213551,-4.16509266829303,2.32568015384248
seller_N_1_Gaslimit_given_TvalueHigh,Combination — Seller N-1 High — Gas Limit | Total Value,Combination — Seller N-1 High,Gas Limit | Total Value,2103,100,0.627674750356633,1320,783,0.0578336672036727,-0.0296392534918409,0.145306587899186,0.0446290411711804,5.95387450102833,-2.92043184603704,15.6394052348428,0.195018488099623,0.232164866785266,8.83262636215496,1.4113360312115,10.2439623933665
seller_N_1_Gaspaid_given_TvalueHigh,Combination — Seller N-1 High — Gas Paid | Total Value,Combination — Seller N-1 High,Gas Paid | Total Value,2103,100,0.707085116500238,1487,616,0.179768267104828,0.0957290510371415,0.263807483172515,0.0428771510549423,19.6939960618988,10.0460854868784,30.1877538840228,2.75732245123007e-05,4.92379009148226e-05,14.4679303776713,12.9922452246391,27.4601756023104
buyer_N_Tvalue_Gaslimit_11vs00,Combination — Buyer N High — Total Value + Gas Limit,Combination — Buyer N High,Total Value + Gas Limit,2462,100,0.5,1231,1231,0.283773801184752,0.187976569139124,0.379571033230379,0.0488761387987897,32.8132474780395,20.6805238532683,46.1657452457707,6.39912504931526e-09,1.7775347359209e-08,20.7608248549932,22.9656964494264,43.7265213044196
buyer_N_Tvalue_Gaspaid_11vs00,Combination — Buyer N High — Total Value + Gas Paid,Combination — Buyer N High,Total Value + Gas Paid,3062,100,0.5,1531,1531,-0.01297817589404,-0.0755711305368997,0.0496147787488198,0.0319351809402346,-1.28943225158866,-7.27862250253353,5.08662024008373,0.684455198599648,0.684455198599648,9.14885919550774,-5.74841047178012,3.40044872372763
buyer_N_Gaslimit_given_TvalueHigh,Combination — Buyer N High — Gas Limit | Total Value,Combination — Buyer N High,Gas Limit | Total Value,2103,100,0.585354255825012,1231,872,0.305056661716609,0.216311455314217,0.393801868119001,0.0452781665318326,35.6701873885486,24.1488987134552,48.2606767904339,1.6125704842735e-11,6.7190436844729e-11,21.5859528391556,26.1348312789833,47.7207841181389
buyer_N_Gaspaid_given_TvalueHigh,Combination — Buyer N High — Gas Paid | Total Value,Combination — Buyer N High,Gas Paid | Total Value,2102,99.9524488825487,0.727878211227402,1530,572,-0.0943083196970994,-0.189927849821828,0.00131121042762923,0.048785474553433,-8.99978526029972,-17.2981198655302,0.131207043986659,0.0532210555097579,0.0700277046181025,3.35058694593669,-10.4865803926486,-7.13599344671186
all_total_value_11vs00,Combination — All Sides: Total Value,Combination,All Sides: Total Value,1261,100,0.503568596352102,635,626,-0.366750109350487,-0.495749062404042,-0.237751156296932,0.0658157923742628,-30.7017206670251,-39.0885528382199,-21.1601145223773,2.5129343978354e-08,6.28233599458849e-08,8.93645526310896,-35.5345263851446,-26.5980711220356
combo4_GP_crosslayer_11vs00,Strategy — B:N GP ↓ + S:N GP ↑ + S:N-1 GP ↑,Strategy,B:N GP ↓ + S:N GP ↑ + S:N-1 GP ↑,1018,100,0.484282907662083,493,525,0.690939037639996,0.609594589334139,0.772283485945853,0.0415022695438046,99.5588586468345,83.9685419486984,116.470368480349,3.11721723718387e-62,7.79304309295967e-61,23.289465970482,91.6601969680516,114.949662938534
combo3_TV_crosslayer_11vs00,Strategy — S:N TV ↓ + S:N-1 TV ↓ + B:N TV ↑,Strategy,S:N TV ↓ + S:N-1 TV ↓ + B:N TV ↑,963,100,0.504672897196262,486,477,0.457134605742861,0.372896735659523,0.541372475826199,0.0429785051445603,57.9541485295467,45.1934399043007,71.8363657072849,2.01874398557399e-26,2.52342998196749e-25,13.445672762816,51.2280176504934,64.6736904133093
