treatment,covariate,type,n,cor,slope_catepct_per_unit,n0,n1,mean0,mean1,diff1minus0
seller_N_total_value_high,Eyes_recoded_Sunglasses,binary,4206,,,4078,128,-14.0893962312989,-13.9689583085706,0.120437922728378
seller_N_total_value_high,`Eyes_recoded_Wide Eyed`,binary,4206,,,3973,233,-14.0720890955432,-14.3183455714207,-0.246256475877537
seller_N_total_value_high,`Eyes_recoded_X Eyes`,binary,4206,,,4103,103,-14.0734559352757,-14.5747067213401,-0.501250786064405
seller_N_total_value_high,Eyes_recoded_Zombie,binary,4206,,,4082,124,-14.0729395982041,-14.506814958589,-0.433875360384896
seller_N_total_value_high,Fur_recoded_Blue,binary,4206,,,3995,211,-14.0649400394398,-14.4793793230896,-0.414439283649765
seller_N_total_value_high,Fur_recoded_Brown,binary,4206,,,3635,571,-14.0427473405453,-14.3593658701433,-0.316618529598015
seller_N_total_value_high,Fur_recoded_Cheetah,binary,4206,,,4034,172,-14.0723181553421,-14.4003084656054,-0.327990310263298
seller_N_total_value_high,Fur_recoded_Cream,binary,4206,,,3924,282,-14.1104278371479,-13.7420768147723,0.368351022375625
seller_N_total_value_high,`Fur_recoded_Dark Brown`,binary,4206,,,3640,566,-14.1381061860568,-13.7489010202959,0.38920516576089
seller_N_total_value_high,`Fur_recoded_Death Bot`,binary,4206,,,4149,57,-14.0772716865567,-14.7014783721113,-0.624206685554581
seller_N_total_value_high,Fur_recoded_Dmt,binary,4206,,,4115,91,-14.0990668930751,-13.4826838431876,0.616383049887473
seller_N_total_value_high,`Fur_recoded_Golden Brown`,binary,4206,,,3878,328,-14.0868590840985,-14.0723931908543,0.0144658932441271
seller_N_total_value_high,Fur_recoded_Gray,binary,4206,,,4005,201,-14.0985295546085,-13.830714569787,0.26781498482146
seller_N_total_value_high,Fur_recoded_Noise,binary,4206,,,4148,58,-14.0888618485056,-13.8618197781511,0.227042070354525
seller_N_total_value_high,Fur_recoded_Other_Fur,binary,4206,,,4175,31,-14.0701335213254,-16.1863562322813,-2.11622271095597
seller_N_total_value_high,Fur_recoded_Pink,binary,4206,,,3987,219,-14.0652041322705,-14.4594320519245,-0.394227919654011
seller_N_total_value_high,Fur_recoded_Red,binary,4206,,,4004,202,-14.0807873321032,-14.1837228563996,-0.102935524296369
seller_N_total_value_high,Fur_recoded_Robot,binary,4206,,,4087,119,-14.1000006186709,-13.5956467750086,0.504353843662313
seller_N_total_value_high,Fur_recoded_Tan,binary,4206,,,3939,267,-14.0937891254698,-13.9668506723172,0.126938453152505
seller_N_total_value_high,Fur_recoded_White,binary,4206,,,4047,159,-14.0676332181786,-14.5463701934935,-0.478736975314932
seller_N_total_value_high,Fur_recoded_Zombie,binary,4206,,,4078,128,-14.1052985248846,-13.4623211738648,0.642977351019747
seller_N_total_value_high,`Hat_recoded_Baby's Bonnet`,binary,4206,,,4139,67,-14.0852342625628,-14.1164161490537,-0.031181886490911
seller_N_total_value_high,`Hat_recoded_Bayc Flipped Brim`,binary,4206,,,4124,82,-14.0901199076779,-13.8649999447613,0.225119962916583
seller_N_total_value_high,`Hat_recoded_Bayc Hat Black`,binary,4206,,,4118,88,-14.0875863429393,-13.9989083467036,0.0886779962357185
seller_N_total_value_high,Hat_recoded_Beanie,binary,4206,,,3970,236,-14.0839193877929,-14.1162056152386,-0.0322862274457574
seller_N_total_value_high,Hat_recoded_Bowler,binary,4206,,,4101,105,-14.0921381169084,-13.8354864504085,0.256651666499831
seller_N_total_value_high,`Hat_recoded_Bunny Ears`,binary,4206,,,4135,71,-14.0881326272902,-13.9458602942102,0.142272333080067
seller_N_total_value_high,`Hat_recoded_Commie Hat`,binary,4206,,,4075,131,-14.0851140850049,-14.1049205980081,-0.019806513003191
