treatment,covariate,type,n,cor,slope_catepct_per_unit,n0,n1,mean0,mean1,diff1minus0,SMD_kept
seller_N_total_value_high,`time_n_sale_str_2024-03`,binary,7323,,,7036,287,0.790583143562928,0.519001646131153,-0.271581497431775,0.0643710767871423
seller_N_total_value_high,`time_n_sale_str_2024-04`,binary,7323,,,7136,187,0.771021349257476,1.12025733821953,0.349235988962049,0.0596896742494425
seller_N_total_value_high,`time_n_sale_str_2024-05`,binary,7323,,,7235,88,0.77329118012161,1.32653161782443,0.553240437702816,0.0607905879073221
seller_N_total_value_high,`time_n_sale_str_2024-06`,binary,7323,,,7205,118,0.781799102502566,0.666389296757689,-0.115409805744877,0.0873676158302935
seller_N_total_value_high,`time_n_sale_str_2024-07`,binary,7323,,,7234,89,0.772772988429129,1.36243451968631,0.589661531257177,0.0135723680418586
seller_N_total_value_high,`time_n_sale_str_2024-08`,binary,7323,,,7220,103,0.771308852927756,1.38491798456313,0.613609131635372,0.051924743505403
seller_N_total_value_high,`time_n_sale_str_2024-09`,binary,7323,,,7267,56,0.772550740559876,1.73875426606753,0.966203525507659,0.0438750636128336
seller_N_total_value_high,`time_n_sale_str_2024-10`,binary,7323,,,7241,82,0.777332909035926,1.0101082465763,0.232775337540374,0.0617969948357221
seller_N_total_value_high,`time_n_sale_str_2024-11`,binary,7323,,,7109,214,0.734200748176175,2.299361456841,1.56516070866482,-0.0172101930115765
seller_N_total_value_high,`time_n_sale_str_2024-12`,binary,7323,,,7092,231,0.766076061154827,1.20556296466826,0.439486903513436,0.0557683098182826
seller_N_total_value_high,`time_n_sale_str_2025-01`,binary,7323,,,7184,139,0.76136208445434,1.74008097718287,0.978718892728525,0.0181462835426216
seller_N_total_value_high,`time_n_sale_str_2025-02`,binary,7323,,,7168,155,0.761420528123626,1.63634919327904,0.874928665155409,0.053449779588198
seller_N_total_value_high,`time_n_sale_str_2025-03`,binary,7323,,,7269,54,0.775791967251326,1.33823445552797,0.56244248827664,0.0124838714382712
seller_N_total_value_high,`time_n-1_sale_str_2021-06`,binary,7323,,,6479,844,0.72308328897661,1.21639791619543,0.493314627218823,-0.192489199754768
seller_N_total_value_high,`time_n-1_sale_str_2021-07`,binary,7323,,,6916,407,0.757680994212019,1.15816883188717,0.40048783767515,-0.164913826244204
seller_N_total_value_high,`time_n-1_sale_str_2021-08`,binary,7323,,,6667,656,0.861024224416919,-0.044134197620727,-0.905158422037646,-0.00635753640387474
