treatment,covariate,type,n,cor,slope_catepct_per_unit,n0,n1,mean0,mean1,diff1minus0
seller_N_total_value_high,`time_n-1_sale_str_2022-01`,binary,3196,,,3098,98,-12.9049979087121,-12.7732617695626,0.131736139149526
seller_N_total_value_high,`time_n-1_sale_str_2022-02`,binary,3196,,,3166,30,-12.9067593736819,-12.2887665843437,0.617992789338219
seller_N_total_value_high,`time_n-1_sale_str_2022-03`,binary,3196,,,3138,58,-12.9136149778003,-12.2161961081012,0.697418869699089
seller_N_total_value_high,`time_n-1_sale_str_2022-04`,binary,3196,,,3150,46,-12.9043104454023,-12.6714189476091,0.23289149779321
seller_N_total_value_high,`time_n-1_sale_str_2022-05`,binary,3196,,,3144,52,-12.9076279873313,-12.4977073545711,0.409920632760162
seller_N_total_value_high,`time_n-1_sale_str_2022-06`,binary,3196,,,3134,62,-12.9197097874657,-11.953108075643,0.966601711822635
seller_N_total_value_high,`time_n-1_sale_str_2022-07`,binary,3196,,,3159,37,-12.9025216392512,-12.767495032782,0.1350266064692
seller_N_total_value_high,`time_n-1_sale_str_2022-08`,binary,3196,,,3147,49,-12.9161366548109,-11.9261453452549,0.989991309555943
seller_N_total_value_high,`time_n-1_sale_str_2022-09`,binary,3196,,,3166,30,-12.9140824693286,-11.5159358904318,1.39814657889677
seller_N_total_value_high,`time_n-1_sale_str_2022-10`,binary,3196,,,3180,16,-12.9053142173726,-12.0352477101582,0.870066507214343
seller_N_total_value_high,`time_n-1_sale_str_2022-11`,binary,3196,,,3160,36,-12.907945779679,-12.2876253006006,0.620320479078437
seller_N_total_value_high,`time_n-1_sale_str_2022-12`,binary,3196,,,3165,31,-12.904670019793,-12.5220181278184,0.382651891974682
seller_N_total_value_high,`time_n-1_sale_str_2023-01`,binary,3196,,,3171,25,-12.9098200019419,-11.7769579379804,1.13286206396147
seller_N_total_value_high,`time_n-1_sale_str_2023-02`,binary,3196,,,3167,29,-12.9067318284912,-12.2704646129523,0.636267215538926
seller_N_total_value_high,`time_n-1_sale_str_2023-03`,binary,3196,,,3162,34,-12.9094661411266,-12.1097422460283,0.799723895098284
seller_N_total_value_high,`time_n-1_sale_str_2023-04`,binary,3196,,,3157,39,-12.9087605991587,-12.2693836682923,0.639376930866405
seller_N_total_value_high,`time_n-1_sale_str_2023-05`,binary,3196,,,3172,24,-12.9046511576157,-12.4129042770937,0.491746880522035
seller_N_total_value_high,`time_n-1_sale_str_2023-06`,binary,3196,,,3114,82,-12.8824354312358,-13.6043809968194,-0.721945565583644
seller_N_total_value_high,`time_n-1_sale_str_2023-07`,binary,3196,,,3156,40,-12.8971843449778,-13.1987345464325,-0.301550201454656
seller_N_total_value_high,`time_n-1_sale_str_2023-08`,binary,3196,,,3151,45,-12.9101667037639,-12.2561753566054,0.653991347158529
seller_N_total_value_high,`time_n-1_sale_str_2023-09`,binary,3196,,,3177,19,-12.9020587020425,-12.7169830641237,0.185075637918798
seller_N_total_value_high,`time_n-1_sale_str_2023-10`,binary,3196,,,3147,49,-12.9192921701946,-11.7234839796928,1.1958081905018
seller_N_total_value_high,`time_n-1_sale_str_2023-11`,binary,3196,,,3121,75,-12.8956657532433,-13.1212047831331,-0.225539029889772
seller_N_total_value_high,`time_n-1_sale_str_2023-12`,binary,3196,,,3150,46,-12.9050067738261,-12.6237355881566,0.281271185669457
seller_N_total_value_high,`time_n-1_sale_str_2024-01`,binary,3196,,,3141,55,-12.9049270289973,-12.6743159368522,0.230611092145102
seller_N_total_value_high,`time_n-1_sale_str_2024-02`,binary,3196,,,3133,63,-12.9074538138098,-12.5779424752594,0.329511338550393
seller_N_total_value_high,`time_n-1_sale_str_2024-03`,binary,3196,,,3090,106,-12.913354957692,-12.5395882579154,0.373766699776569
seller_N_total_value_high,`time_n-1_sale_str_2024-04`,binary,3196,,,3115,81,-12.9229810887704,-12.0540380628096,0.868943025960778
seller_N_total_value_high,`time_n-1_sale_str_2024-05`,binary,3196,,,3152,44,-12.9146635137832,-11.9191767991532,0.995486714629974
seller_N_total_value_high,`time_n-1_sale_str_2024-06`,binary,3196,,,3151,45,-12.9096796146945,-12.2902824156659,0.619397199028594
seller_N_total_value_high,`time_n-1_sale_str_2024-07`,binary,3196,,,3151,45,-12.9171334032851,-11.7683515745773,1.14878182870783
seller_N_total_value_high,`time_n-1_sale_str_2024-08`,binary,3196,,,3166,30,-12.9149015981493,-11.4294904955509,1.48541110259842
seller_N_total_value_high,`time_n-1_sale_str_2024-09`,binary,3196,,,3169,27,-12.9134876718999,-11.4303978650534,1.48308980684655
seller_N_total_value_high,`time_n-1_sale_str_2024-10`,binary,3196,,,3165,31,-12.9095439229499,-12.0244083377719,0.885135585177958
seller_N_total_value_high,`time_n-1_sale_str_2024-11`,binary,3196,,,3143,53,-12.9331588848413,-10.9914113122859,1.94174757255539
seller_N_total_value_high,`time_n-1_sale_str_2024-12`,binary,3196,,,3149,47,-12.9172204062769,-11.8114067072613,1.10581369901564
seller_N_total_value_high,`time_n-1_sale_str_2025-01`,binary,3196,,,3177,19,-12.909696379163,-11.4398830529733,1.46981332618969
seller_N_total_value_high,`time_n-1_sale_str_2025-02`,binary,3196,,,3181,15,-12.9129172486389,-10.3648937791337,2.54802346950517
seller_N_total_value_high,`time_n-1_sale_str_2025-03`,binary,3196,,,3191,5,-12.9038965717853,-11.0258428080769,1.87805376370842
seller_N_total_value_high,`Background_recoded_Army Green`,binary,3196,,,2837,359,-12.8997512129523,-12.9104985611744,-0.0107473482221323
seller_N_total_value_high,Background_recoded_Blue,binary,3196,,,2793,403,-12.8998423249153,-12.9086937000468,-0.00885137513145295
seller_N_total_value_high,Background_recoded_Gray,binary,3196,,,2793,403,-12.8973620592599,-12.9258832334847,-0.0285211742247178
seller_N_total_value_high,`Background_recoded_New Punk Blue`,binary,3196,,,2775,421,-12.9140248521688,-12.814831852349,0.0991929998198238
seller_N_total_value_high,Background_recoded_Orange,binary,3196,,,2781,415,-12.865805180964,-13.1365276297503,-0.270722448786279
seller_N_total_value_high,Background_recoded_Purple,binary,3196,,,2806,390,-12.9051625992312,-12.8707100542678,0.0344525449634574
seller_N_total_value_high,Background_recoded_Yellow,binary,3196,,,2788,408,-12.9167854521773,-12.7928071910223,0.12397826115496
seller_N_total_value_high,`Clothes_recoded_Bayc T Black`,binary,3196,,,3141,55,-12.9113062332877,-12.310005379103,0.60130085418467
seller_N_total_value_high,`Clothes_recoded_Bayc T Red`,binary,3196,,,3152,44,-12.8981704377675,-13.1006807900936,-0.202510352326067
seller_N_total_value_high,`Clothes_recoded_Biker Vest`,binary,3196,,,3120,76,-12.9005106158046,-12.9193428065377,-0.0188321907330327
seller_N_total_value_high,`Clothes_recoded_Black Holes T`,binary,3196,,,3124,72,-12.8999567927639,-12.9444188057366,-0.0444620129727937
seller_N_total_value_high,`Clothes_recoded_Black T`,binary,3196,,,3087,109,-12.908805950284,-12.6787083126666,0.230097637617378
seller_N_total_value_high,`Clothes_recoded_Bone Necklace`,binary,3196,,,3122,74,-12.9029781745792,-12.8157474806883,0.0872306938908967
seller_N_total_value_high,`Clothes_recoded_Bone Tee`,binary,3196,,,3111,85,-12.8910592923177,-13.263267249493,-0.372207957175325
seller_N_total_value_high,`Clothes_recoded_Caveman Pelt`,binary,3196,,,3138,58,-12.899074701949,-13.0028751705426,-0.10380046859364
seller_N_total_value_high,`Clothes_recoded_Cowboy Shirt`,binary,3196,,,3162,34,-12.8979232799668,-13.1832283338887,-0.285305053921899
seller_N_total_value_high,Clothes_recoded_Guayabera,binary,3196,,,3130,66,-12.8811628142433,-13.8397510003921,-0.958588186148857
seller_N_total_value_high,Clothes_recoded_Hawaiian,binary,3196,,,3108,88,-12.8965765032025,-13.0557204847046,-0.159143981502096
seller_N_total_value_high,`Clothes_recoded_Hip Hop`,binary,3196,,,3149,47,-12.9133629520609,-12.0698561397339,0.843506812327046
seller_N_total_value_high,`Clothes_recoded_Lab Coat`,binary,3196,,,3155,41,-12.8995160331922,-13.011953411853,-0.112437378660779
seller_N_total_value_high,`Clothes_recoded_Leather Jacket`,binary,3196,,,3146,50,-12.9007279161598,-12.9154630073722,-0.0147350912124242
seller_N_total_value_high,`Clothes_recoded_Leather Punk Jacket`,binary,3196,,,3144,52,-12.9073656180803,-12.5135706031345,0.393795014945786
seller_N_total_value_high,`Clothes_recoded_Lumberjack Shirt`,binary,3196,,,3121,75,-12.899501585233,-12.961583027935,-0.062081442701988
seller_N_total_value_high,`Clothes_recoded_Navy Striped Tee`,binary,3196,,,3085,111,-12.9013382538912,-12.8904023545302,0.0109358993610531
seller_N_total_value_high,Clothes_recoded_No_Clothes,binary,3196,,,2615,581,-12.9107847990721,-12.8567313683886,0.0540534306834726
seller_N_total_value_high,Clothes_recoded_Other_Clothes,binary,3196,,,3055,141,-12.9290834307318,-12.2915836434157,0.637499787316168
seller_N_total_value_high,`Clothes_recoded_Prison Jumpsuit`,binary,3196,,,3124,72,-12.9012062807257,-12.8902049113932,0.0110013693324689
seller_N_total_value_high,`Clothes_recoded_Prom Dress`,binary,3196,,,3163,33,-12.8995384650512,-13.0370608985003,-0.137522433449105
seller_N_total_value_high,`Clothes_recoded_Puffy Vest`,binary,3196,,,3121,75,-12.8888725079588,-13.4038943635706,-0.515021855611737
seller_N_total_value_high,`Clothes_recoded_Rainbow Suspenders`,binary,3196,,,3153,43,-12.9034381533778,-12.7191320234221,0.184306129955669
seller_N_total_value_high,`Clothes_recoded_Sailor Shirt`,binary,3196,,,3105,91,-12.8888137545674,-13.3153457876425,-0.426532033075102
seller_N_total_value_high,Clothes_recoded_Service,binary,3196,,,3135,61,-12.8933729515468,-13.2908028116058,-0.397429860059003
seller_N_total_value_high,`Clothes_recoded_Sleeveless Logo T`,binary,3196,,,3152,44,-12.8980490921051,-13.1093735520889,-0.211324459983748
seller_N_total_value_high,`Clothes_recoded_Sleeveless T`,binary,3196,,,3118,78,-12.9022770878466,-12.8482463423272,0.0540307455194782
seller_N_total_value_high,`Clothes_recoded_Smoking Jacket`,binary,3196,,,3132,64,-12.8919059291177,-13.3439656970409,-0.452059767923212
seller_N_total_value_high,`Clothes_recoded_Striped Tee`,binary,3196,,,3074,122,-12.901935782059,-12.8763326275237,0.0256031545352702
seller_N_total_value_high,`Clothes_recoded_Stunt Jacket`,binary,3196,,,3142,54,-12.8944448666955,-13.2799519157438,-0.385507049048318
seller_N_total_value_high,Clothes_recoded_Tanktop,binary,3196,,,3115,81,-12.896049451783,-13.0897423741155,-0.193692922332536
seller_N_total_value_high,`Clothes_recoded_Tie Dye`,binary,3196,,,3150,46,-12.9046494971807,-12.6482012714827,0.256448225697977
seller_N_total_value_high,Clothes_recoded_Toga,binary,3196,,,3125,71,-12.8882907814652,-13.458513838429,-0.57022305696375
seller_N_total_value_high,`Clothes_recoded_Tuxedo Tee`,binary,3196,,,3109,87,-12.9108763451439,-12.5465358339664,0.364340511177469
seller_N_total_value_high,`Clothes_recoded_Tweed Suit`,binary,3196,,,3155,41,-12.8966261647347,-13.2343323138834,-0.337706149148675
seller_N_total_value_high,`Clothes_recoded_Vietnam Jacket`,binary,3196,,,3123,73,-12.9136544962413,-12.3578107239149,0.555843772326361
seller_N_total_value_high,`Clothes_recoded_Wool Turtleneck`,binary,3196,,,3109,87,-12.9074471408852,-12.6690806160361,0.238366524849168
seller_N_total_value_high,`Clothes_recoded_Work Vest`,binary,3196,,,3143,53,-12.9017658162942,-12.8530795093344,0.0486863069597945
seller_N_total_value_high,`Earring_recoded_Diamond Stud`,binary,3196,,,3135,61,-12.9101041348564,-12.4309297021719,0.479174432684532
seller_N_total_value_high,`Earring_recoded_Gold Hoop`,binary,3196,,,3051,145,-12.8982372252897,-12.9582165534373,-0.0599793281475627
seller_N_total_value_high,`Earring_recoded_Gold Stud`,binary,3196,,,3048,148,-12.9330898370493,-12.2392253464932,0.693864490556102
seller_N_total_value_high,Earring_recoded_No_Earring,binary,3196,,,941,2255,-12.6409777983643,-13.0094470360739,-0.368469237709588
seller_N_total_value_high,`Earring_recoded_Silver Hoop`,binary,3196,,,2918,278,-12.9239475226183,-12.6596557683705,0.264291754247871
seller_N_total_value_high,`Earring_recoded_Silver Stud`,binary,3196,,,2935,261,-12.9146341645778,-12.7471720366723,0.167462127905457
seller_N_total_value_high,Eyes_recoded_Angry,binary,3196,,,3057,139,-12.9041907866741,-12.8298700701044,0.0743207165697157
seller_N_total_value_high,Eyes_recoded_Blindfold,binary,3196,,,3105,91,-12.9112173350362,-12.5509159265936,0.360301408442597
seller_N_total_value_high,Eyes_recoded_Bloodshot,binary,3196,,,2945,251,-12.9056223744204,-12.8462361830252,0.0593861913951805
seller_N_total_value_high,Eyes_recoded_Bored,binary,3196,,,2608,588,-12.8106428709148,-13.3015417810572,-0.490898910142438
seller_N_total_value_high,Eyes_recoded_Closed,binary,3196,,,2980,216,-12.8778773367533,-13.2193921809374,-0.341514844184072
seller_N_total_value_high,Eyes_recoded_Coins,binary,3196,,,3052,144,-12.9094994463256,-12.7199365584834,0.189562887842222
seller_N_total_value_high,Eyes_recoded_Crazy,binary,3196,,,3061,135,-12.8957241867101,-13.0196402895378,-0.123916102827629
seller_N_total_value_high,Eyes_recoded_Eyepatch,binary,3196,,,3097,99,-12.8916661329397,-13.1916480898297,-0.299981956890024
seller_N_total_value_high,Eyes_recoded_Heart,binary,3196,,,3062,134,-12.9088731347845,-12.7201017604265,0.188771374358016
seller_N_total_value_high,Eyes_recoded_Holographic,binary,3196,,,3145,51,-12.9016305889156,-12.8595092640725,0.0421213248431229
seller_N_total_value_high,Eyes_recoded_Hypnotized,binary,3196,,,3138,58,-12.9070937707788,-12.5690158948891,0.338077875889626
seller_N_total_value_high,Eyes_recoded_Other_Eyes,binary,3196,,,3132,64,-12.9163182090219,-12.1492897492277,0.767028459794233
seller_N_total_value_high,Eyes_recoded_Robot,binary,3196,,,3092,104,-12.9099532511544,-12.6335357888251,0.276417462329379
seller_N_total_value_high,Eyes_recoded_Sad,binary,3196,,,2997,199,-12.8932863491054,-13.0165024439118,-0.123216094806425
seller_N_total_value_high,Eyes_recoded_Scumbag,binary,3196,,,3131,65,-12.9088729116993,-12.5197244319506,0.389148479748748
seller_N_total_value_high,Eyes_recoded_Sleepy,binary,3196,,,2976,220,-12.881599647866,-13.1628301025369,-0.281230454670917
seller_N_total_value_high,Eyes_recoded_Sunglasses,binary,3196,,,3090,106,-12.9188457645175,-12.3795260589454,0.53931970557213
