bin,n,mean_cate_pct,sd_cate_pct,treatment,covariate
"(4.03,5.06]",635,-13.9520179477947,2.09316008260129,seller_N_total_value_high,log_sellern_1_avg_total_gaspaid
"(2.89,4.03]",577,-13.8520319572301,2.08451883497798,seller_N_total_value_high,log_sellern_1_avg_total_gaspaid
"(1.91,2.89]",704,-13.1468615425291,2.06361754856137,seller_N_total_value_high,log_sellern_1_avg_total_gaspaid
"[0.186,0.928]",640,-11.3174086165044,2.33158221318851,seller_N_total_value_high,log_sellern_1_avg_total_gaspaid
"(0.928,1.91]",640,-12.3137145280197,2.27737004174623,seller_N_total_value_high,log_sellern_1_avg_total_gaspaid
"(0.00339,0.00603]",639,-12.5775810950709,2.45126687578402,seller_N_total_value_high,log_buyern_avg_gasLimit_cost
"(0.017,0.0284]",639,-13.3275828021575,2.16616558402915,seller_N_total_value_high,log_buyern_avg_gasLimit_cost
"(0.0101,0.017]",636,-13.5340652882433,2.20815472919646,seller_N_total_value_high,log_buyern_avg_gasLimit_cost
"[0.00155,0.00339]",640,-11.7418309430589,2.31270374496787,seller_N_total_value_high,log_buyern_avg_gasLimit_cost
"(0.00603,0.0101]",642,-13.3265204320841,2.30254749068583,seller_N_total_value_high,log_buyern_avg_gasLimit_cost
"(0.0117,0.0171]",639,-13.1999719308655,2.14261078801101,seller_N_total_value_high,log_buyern_1_avg_gasLimit_cost
"(0.0171,0.0251]",639,-12.796526475601,2.26864847172393,seller_N_total_value_high,log_buyern_1_avg_gasLimit_cost
"[0.0021,0.00465]",640,-12.0013892822217,2.50977852911928,seller_N_total_value_high,log_buyern_1_avg_gasLimit_cost
"(0.00781,0.0117]",639,-13.5408934184105,2.21063100183784,seller_N_total_value_high,log_buyern_1_avg_gasLimit_cost
"(0.00465,0.00781]",639,-12.9674188699359,2.48880495833804,seller_N_total_value_high,log_buyern_1_avg_gasLimit_cost
"(0.00565,0.009]",643,-13.1735139316333,2.09365006715467,seller_N_total_value_high,log_sellern_avg_gasLimit_cost
"[0.0018,0.00351]",642,-11.7366098307765,2.32029911279194,seller_N_total_value_high,log_sellern_avg_gasLimit_cost
"(0.0161,0.0211]",638,-13.4773405778965,2.50753749371022,seller_N_total_value_high,log_sellern_avg_gasLimit_cost
"(0.00351,0.00565]",637,-12.2891460245729,2.28196883696727,seller_N_total_value_high,log_sellern_avg_gasLimit_cost
"(0.009,0.0161]",636,-13.8353158787072,2.04197468267836,seller_N_total_value_high,log_sellern_avg_gasLimit_cost
"(0.0137,0.0211]",916,-13.7154733289576,2.10028275027367,seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost
"(0.0211,0.0293]",362,-13.9127352562846,2.03485658987363,seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost
"(0.00945,0.0137]",639,-13.1551126536322,2.19985869809583,seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost
"[0.00244,0.00511]",640,-11.5501342001953,2.30829876605258,seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost
"(0.00511,0.00945]",639,-12.2589617663711,2.40160222230503,seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost
"(0.792,4.36]",639,-13.088773567656,2.0542697930071,seller_N_total_value_high,`log_price_change_n-1`
"(-0.0202,0]",743,-13.3893583230817,2.3052491493533,seller_N_total_value_high,`log_price_change_n-1`
"[-4.23,-0.0202]",640,-11.5055047040022,2.44130206288963,seller_N_total_value_high,`log_price_change_n-1`
"(0.1,0.792]",639,-13.2552200655997,2.22614921642778,seller_N_total_value_high,`log_price_change_n-1`
"(0,0.1]",535,-13.2445513987771,2.35387989622892,seller_N_total_value_high,`log_price_change_n-1`
"(1.75,4.06]",633,-37.728273763055,5.90500607526728,seller_N_1_total_value_high,log_price_1_sale
"(0.438,0.854]",616,-42.7472814099976,6.50428709140784,seller_N_1_total_value_high,log_price_1_sale
"(0.854,1.75]",632,-39.0740770943552,6.16536500821288,seller_N_1_total_value_high,log_price_1_sale
"[0.14,0.281]",634,-45.2778704219391,6.28211298671916,seller_N_1_total_value_high,log_price_1_sale
"(0.281,0.438]",651,-45.1045746593736,6.40269382929392,seller_N_1_total_value_high,log_price_1_sale
"(6.77,8.09]",633,-42.2947539060466,6.94880003992772,seller_N_1_total_value_high,log_buyern_total_value
"(5.66,6.77]",633,-42.5047604340553,6.99219385957476,seller_N_1_total_value_high,log_buyern_total_value
"(8.09,9.02]",647,-41.2700352109935,7.11317984452319,seller_N_1_total_value_high,log_buyern_total_value
"(9.02,10.3]",619,-42.3283356676731,6.81150701716255,seller_N_1_total_value_high,log_buyern_total_value
"[4.53,5.66]",634,-41.6361864004409,6.94983586864515,seller_N_1_total_value_high,log_buyern_total_value
"(0.175,0.837]",632,-42.0334915256818,7.14544329201303,seller_N_1_total_value_high,log_buyern_rolling_avg_value_last10
"(1.76,3.3]",631,-41.294494409813,6.64219601010727,seller_N_1_total_value_high,log_buyern_rolling_avg_value_last10
"[0,0.00476]",634,-42.5867251795881,6.99830877945154,seller_N_1_total_value_high,log_buyern_rolling_avg_value_last10
"(0.00476,0.175]",634,-43.5331801391404,6.62437115464005,seller_N_1_total_value_high,log_buyern_rolling_avg_value_last10
"(0.837,1.76]",635,-40.5612200410545,7.0967780923155,seller_N_1_total_value_high,log_buyern_rolling_avg_value_last10
"(6.65,7.78]",630,-42.0401271504619,6.61986175800282,seller_N_1_total_value_high,log_sellern_total_value
"[4.13,5.4]",634,-44.5750600260131,6.51932195125256,seller_N_1_total_value_high,log_sellern_total_value
"(5.4,6.65]",636,-43.4740075205948,6.77873912625564,seller_N_1_total_value_high,log_sellern_total_value
"(8.39,9.63]",625,-40.3419282182258,6.70030357215038,seller_N_1_total_value_high,log_sellern_total_value
"(7.78,8.39]",641,-39.5777616758092,6.99703473610973,seller_N_1_total_value_high,log_sellern_total_value
"(0.034,0.295]",633,-43.3970416573233,6.71992446020287,seller_N_1_total_value_high,log_sellern_rolling_avg_value_last10
"[0,0.034]",635,-43.9182420153593,6.35940273588222,seller_N_1_total_value_high,log_sellern_rolling_avg_value_last10
"(0.965,1.46]",633,-39.9056999528198,7.24738092690482,seller_N_1_total_value_high,log_sellern_rolling_avg_value_last10
"(0.295,0.965]",632,-41.3863254304725,7.06764709307811,seller_N_1_total_value_high,log_sellern_rolling_avg_value_last10
"(1.46,2.63]",633,-41.3957512226447,6.69735471868719,seller_N_1_total_value_high,log_sellern_rolling_avg_value_last10
"(9.09,10.2]",605,-39.7016494642281,6.12417677621213,seller_N_1_total_value_high,log_buyern_1_total_value
"(7.03,8.09]",633,-41.8994414275156,6.2851097594992,seller_N_1_total_value_high,log_buyern_1_total_value
"(5.81,7.03]",634,-44.0795491394574,6.42342884358047,seller_N_1_total_value_high,log_buyern_1_total_value
"[4.55,5.81]",634,-45.7099421649549,6.38697239779474,seller_N_1_total_value_high,log_buyern_1_total_value
"(8.09,9.09]",660,-38.6515234522631,7.01515100282408,seller_N_1_total_value_high,log_buyern_1_total_value
"(0.337,0.982]",655,-40.7437984255596,7.08181717283508,seller_N_1_total_value_high,log_buyern_1_rolling_avg_value_last10
"[0,0.00931]",634,-42.513290244123,6.49081684890176,seller_N_1_total_value_high,log_buyern_1_rolling_avg_value_last10
"(0.0965,0.337]",633,-43.1296549129901,6.84402140714072,seller_N_1_total_value_high,log_buyern_1_rolling_avg_value_last10
"(0.982,2.49]",611,-38.8178132210426,6.61780669452362,seller_N_1_total_value_high,log_buyern_1_rolling_avg_value_last10
"(0.00931,0.0965]",633,-44.7377849817869,6.33122927345806,seller_N_1_total_value_high,log_buyern_1_rolling_avg_value_last10
"(0.524,1.07]",633,-38.2903003741313,5.59606063711823,seller_N_1_total_value_high,log_sellern_1_rolling_avg_value_last10
"(0.104,0.524]",633,-40.8679831987542,5.52695026489949,seller_N_1_total_value_high,log_sellern_1_rolling_avg_value_last10
"[0,0.0102]",634,-47.695527938163,5.0039481192999,seller_N_1_total_value_high,log_sellern_1_rolling_avg_value_last10
"(0.0102,0.104]",633,-46.8038360739915,4.87360878368856,seller_N_1_total_value_high,log_sellern_1_rolling_avg_value_last10
"(1.07,2.24]",633,-36.3434452854629,5.50478313848961,seller_N_1_total_value_high,log_sellern_1_rolling_avg_value_last10
"(0.293,1.01]",634,-42.1208267182355,6.89698620440649,seller_N_1_total_value_high,log_buyern_avg_total_gaspaid
"(1.01,1.85]",632,-42.654717798221,7.08576686201995,seller_N_1_total_value_high,log_buyern_avg_total_gaspaid
"(1.85,3.1]",634,-42.4407845849341,7.06116159786458,seller_N_1_total_value_high,log_buyern_avg_total_gaspaid
"(3.1,5.06]",632,-41.7679894538713,7.01821923599403,seller_N_1_total_value_high,log_buyern_avg_total_gaspaid
"[0.041,0.293]",634,-41.0270895353858,6.72045906467227,seller_N_1_total_value_high,log_buyern_avg_total_gaspaid
"(3.55,5.06]",632,-40.5393668021095,6.8068891775652,seller_N_1_total_value_high,log_buyern_1_avg_total_gaspaid
"[0.222,0.951]",643,-42.0231617783287,6.68556835372624,seller_N_1_total_value_high,log_buyern_1_avg_total_gaspaid
"(0.951,1.77]",625,-42.57109348288,6.90901366500571,seller_N_1_total_value_high,log_buyern_1_avg_total_gaspaid
"(1.77,2.58]",632,-43.1011258434797,7.27438232979125,seller_N_1_total_value_high,log_buyern_1_avg_total_gaspaid
"(2.58,3.55]",634,-41.7819708402032,6.95309259005721,seller_N_1_total_value_high,log_buyern_1_avg_total_gaspaid
"(1.7,2.92]",650,-41.9955159779894,7.03277296394809,seller_N_1_total_value_high,log_sellern_avg_total_gaspaid
"(0.39,1.02]",635,-42.7053412522661,7.13814799504291,seller_N_1_total_value_high,log_sellern_avg_total_gaspaid
"(1.02,1.7]",631,-42.7344167818934,6.82252503968253,seller_N_1_total_value_high,log_sellern_avg_total_gaspaid
"[0.0873,0.39]",634,-42.7576619940449,6.55023593396184,seller_N_1_total_value_high,log_sellern_avg_total_gaspaid
"(2.92,5.06]",616,-39.755901851437,6.87287615479457,seller_N_1_total_value_high,log_sellern_avg_total_gaspaid
"(3.99,5.06]",629,-42.8742308073269,6.07104594712657,seller_N_1_total_value_high,log_sellern_1_avg_total_gaspaid
"(2.88,3.99]",637,-46.968235554237,5.92419937077792,seller_N_1_total_value_high,log_sellern_1_avg_total_gaspaid
"(1.89,2.88]",633,-43.6638709880743,6.37818414789724,seller_N_1_total_value_high,log_sellern_1_avg_total_gaspaid
"[0.186,0.917]",634,-37.0443354662147,6.05259857116007,seller_N_1_total_value_high,log_sellern_1_avg_total_gaspaid
"(0.917,1.89]",633,-39.4413760949095,5.90298158396063,seller_N_1_total_value_high,log_sellern_1_avg_total_gaspaid
"(0.0034,0.00605]",633,-41.0503292222905,6.84737907706697,seller_N_1_total_value_high,log_buyern_avg_gasLimit_cost
"(0.0169,0.0284]",633,-43.0978850640655,6.90106383275791,seller_N_1_total_value_high,log_buyern_avg_gasLimit_cost
"(0.0101,0.0169]",632,-43.3381718309147,6.60495260341217,seller_N_1_total_value_high,log_buyern_avg_gasLimit_cost
"[0.00155,0.0034]",634,-40.0585922517565,6.97416016897249,seller_N_1_total_value_high,log_buyern_avg_gasLimit_cost
"(0.00605,0.0101]",634,-42.469551398977,7.00013022798107,seller_N_1_total_value_high,log_buyern_avg_gasLimit_cost
"(0.0117,0.0173]",633,-43.9768958193428,6.37196568128448,seller_N_1_total_value_high,log_buyern_1_avg_gasLimit_cost
