treatment,covariate,method,n_obs,coef_log,se_log,z_or_t,p_value,ci_lo_log,ci_hi_log,coef_pct,ci_lo_pct,ci_hi_pct,r2_tau,r2_tau_oos
seller_N_total_value_high,`time_n_sale_str_2024-03`,grf_blp_single,4206,0.137172023489684,0.184533696515382,0.743344040031463,0.457273414799495,-0.224514021680465,0.498858068659833,14.7025446870064,-20.1095625360477,64.6839618773044,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2024-04`,grf_blp_single,4206,0.156787309164177,0.168960770628057,0.927950959156797,0.353433008859729,-0.174375801266815,0.487950419595169,16.9746793017783,-16.0018827651507,62.8974082775872,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2024-05`,grf_blp_single,4206,0.212055696052944,0.244658204049546,0.866742633367815,0.386083040361567,-0.267474383884166,0.691585775990053,23.6216735553889,-23.4690065360331,99.6879627576049,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2024-06`,grf_blp_single,4206,0.150009607613411,0.172493083986953,0.869655780661657,0.384488544407923,-0.188076837001018,0.488096052227839,16.1845405236157,-17.1448958590446,62.9211331835282,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2024-07`,grf_blp_single,4206,0.184102491636419,0.295678777757777,0.622643576358521,0.533518768621615,-0.395427912768824,0.763632896041662,20.2139025978536,-32.6608175372273,114.605848323083,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2024-08`,grf_blp_single,4206,-0.0492099482926591,0.204603466751726,-0.240513756066374,0.809932000400322,-0.450232743126041,0.351812846540723,-4.80187581201902,-36.2520234678872,42.1642433520216,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2024-09`,grf_blp_single,4206,-0.198786970349701,0.215293794345309,-0.9233288444481,0.355835860548156,-0.620762807266507,0.223188866567105,-18.0275499642319,-46.2465753862897,25.0056645349558,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2024-10`,grf_blp_single,4206,-0.0685196953708989,0.211434059129162,-0.324071228888631,0.745884108508811,-0.482930451264056,0.345891060522258,-6.62249311239053,-38.3027268444983,41.3248648861563,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2024-11`,grf_blp_single,4206,0.391220613571265,0.118926906100157,3.28958876002196,0.00100333905741133,0.158123877614957,0.624317349527574,47.878471740695,17.131128496912,86.6971033659941,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2024-12`,grf_blp_single,4206,0.158581579713833,0.0912157413367069,1.73853303596423,0.0821169342491845,-0.0202012733061127,0.337364432733778,17.1847519311118,-1.99985946678138,40.1249631933074,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2025-01`,grf_blp_single,4206,-0.00245566025246975,0.118589914627657,-0.0207071592907366,0.983479257957316,-0.234891892922678,0.229980572417738,-0.245264758536545,-20.9343679447372,25.8575558611766,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2025-02`,grf_blp_single,4206,0.0698131575866839,0.0610588041691246,1.1433757758064,0.252882605710546,-0.0498620985848003,0.189488413758168,7.23078099568411,-4.8639390570382,20.8631120415862,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2025-03`,grf_blp_single,4206,0.354668854219789,0.17361378552983,2.04286113074155,0.0410661870202793,0.0143858345813233,0.694951873858255,42.5708458763088,1.44898086860956,100.361264547465,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2021-06`,grf_blp_single,4206,0.0298192704501969,0.0624032755885065,0.477847840020902,0.632758508322068,-0.0924911497032759,0.15212969060367,3.02683171974449,-8.83427206338091,16.4311226866752,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2021-07`,grf_blp_single,4206,-0.123465739424575,0.105336532171436,-1.17210750040293,0.241153898995904,-0.329925342480588,0.0829938636314391,-11.6148077999204,-28.1022591501891,8.65351411477009,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2021-08`,grf_blp_single,4206,0.0747192437207612,0.0631456608908631,1.18328389736709,0.236696652390079,-0.0490462516253306,0.198484739066853,7.75815706186211,-4.78629092079095,21.9553415749089,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2021-09`,grf_blp_single,4206,-0.00747276917860849,0.0958735500818859,-0.0779440124228838,0.937872589029953,-0.195384927339105,0.180439388981888,-0.744491745868281,-17.7482012547934,19.7743522826014,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2021-10`,grf_blp_single,4206,0.000302782306926169,0.163736210255191,0.00184920798187687,0.99852454634245,-0.320620189793248,0.3212257544071,0.0302828150115619,-27.4301173525039,37.8816819734301,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2021-11`,grf_blp_single,4206,-0.107441311700926,0.132585798916115,-0.81035308893754,0.417737271207315,-0.367309477576512,0.152426854174661,-10.1870769418996,-30.7404730831566,16.4657269161708,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2021-12`,grf_blp_single,4206,-0.234783587652429,0.330276298966062,-0.71087022710205,0.47716465720055,-0.882125133625912,0.412557958321053,-20.9258042563522,-58.6097621474789,51.0677096078555,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2022-01`,grf_blp_single,4206,-0.13953827852291,0.114489843902658,-1.21878302709146,0.222926555203717,-0.363938372572119,0.0848618155262991,-13.0240270550545,-30.5065979580495,8.85666332975472,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2022-02`,grf_blp_single,4206,0.0672887349920801,0.261961239702908,0.256865233453593,0.79728280995284,-0.446155294825619,0.58073276480978,6.96042657727694,-35.9915637446509,78.7347656479731,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2022-03`,grf_blp_single,4206,0.106883170614974,0.131139289353853,0.815035456891728,0.415052014579671,-0.150149836518578,0.363916177748527,11.2804238649783,-13.9420979400255,43.8953592772827,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2022-04`,grf_blp_single,4206,0.132555987388807,0.20220386107626,0.6555561633851,0.512109738636036,-0.263763580320663,0.528875555098276,14.1742937505531,-23.1844874820959,69.70230264882,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2022-05`,grf_blp_single,4206,-0.0593874244393908,0.18379115313249,-0.323124499885911,0.746600956429643,-0.419618084579072,0.30084323570029,-5.76583877445295,-34.270219594786,35.0997536753977,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2022-06`,grf_blp_single,4206,-0.161039547097761,0.195452342453811,-0.823932550902108,0.409977883697775,-0.544126138307232,0.222047044111709,-14.8741594357918,-41.9651293679798,24.8630117177319,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2022-07`,grf_blp_single,4206,0.0583937413542905,0.335503761099759,0.174047948562125,0.861827779749662,-0.599193630401238,0.715981113109819,6.01323314836451,-45.0745640411787,104.619324478288,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2022-08`,grf_blp_single,4206,0.334675383287128,0.441544679859891,0.757964932095493,0.448471976513981,-0.530752189238258,1.20010295581251,39.7486664056546,-41.1837606174158,232.045876566903,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n-1_sale_str_2022-09`,grf_blp_single,4206,0.761597495299908,0.68849212857373,1.10618184826255,0.268647817836354,-0.587847076704603,2.11104206730442,114.169483659352,-44.4478005543182,725.684098714453,0.740122212945672,0.767296703396088
