model,treatment,subgroup,metric,ATE_pct,CI95_lo_pct,CI95_hi_pct,GATES_lift,GATES_bot_mean,GATES_top_mean,cutoff_raw,split_rule,p_value,q_value_bh,kept_pct,total_covariates,count_gt_0_10,count_gt_0_25,median_abs_smd,p90_abs_smd,max_abs_smd,flags
GRF,seller_N_gaslimit_cost_high,Seller N High,Gas Limit Cost,43.6429324512736,30.653721373489,57.9234929269137,18.4568042434721,34.7897889535175,53.2465931969896,0.00835198924962315,median,6.9254665627054e-14,1.57396967334214e-13,88.8096544157981,,,,,,,***
GRF,seller_N_1_gaslimit_cost_high,Seller N-1 High,Gas Limit Cost,6.33542975132231,-3.72149799423566,17.4428702652792,13.3057271754814,0.261738978236379,13.5674661537178,0.0130669126323884,median,0.225577342090306,0.245192763141637,88.8096544157981,,,,,,,""
GRF,buyer_N_Tvalue_Gaspaid_11vs00,Combination — Buyer N High,Total Value + Gas Paid,-8.17806356947134,-16.2483056622229,0.669820193106663,7.73429682054016,-11.9712305364251,-4.23693371588493,,,0.0690997563630535,0.0822616147179208,99.9288762446657,,,,,,,**
GRF,buyer_N_Tvalue_Gaslimit_11vs00,Combination — Buyer N High,Total Value + Gas Limit,46.8378309625958,26.4116863126193,70.5645200276665,31.4592240599706,29.3808867285616,60.8401107885322,,,4.98517701713299e-07,8.90210181630891e-07,100,,,,,,,***
GRF,buyer_N_1_Tvalue_Gaspaid_11vs00,Combination — Buyer N-1 High,Total Value + Gas Paid,-20.0060326211916,-27.6330042614175,-11.5752318899952,18.2116069868944,-27.9885381429612,-9.7769311560668,,,1.26357199532894e-05,2.10595332554823e-05,97.9547900968784,,,,,,,***
GRF,buyer_N_1_Tvalue_Gaslimit_11vs00,Combination — Buyer N-1 High,Total Value + Gas Limit,-16.6480446089736,-29.1083338456241,-1.99766990412592,11.6265911146371,-21.8558799245251,-10.229288809888,,,0.0275059233912954,0.0370955958844689,100,,,,,,,***
GRF,buyer_N_1_Tvalue_Gaspaid_Gaslimit_11vs00,Combination — Buyer N-1 High,Total Value + Gas Paid + Gas Limit,12.3709052108778,-0.512705983337169,26.9229449119119,4.62293176011264,10.0658574095212,14.6887891696338,,,0.0604815829828152,0.075601978728519,100,,,,,,,**
GRF,seller_N_Tvalue_Gaslimit_11vs00,Combination — Seller N High,Total Value + Gas Limit,23.246787806896,2.2594893178175,48.5414293191803,17.4672347052576,13.7784375236818,31.2456722289394,,,0.0281926528721964,0.0370955958844689,83.1799163179916,,,,,,,***
GRF,seller_N_1_Tvalue_Gaspaid_11vs00,Combination — Seller N-1 High,Total Value + Gas Paid,-1.61103651342307,-12.6365112673807,10.8058787074121,13.7206370290369,-8.83027460719856,4.89036242183838,,,0.788820337775587,0.788820337775587,90.7446808510638,,,,,,,""
GRF,combo_all_TV_BN1_SN_SN1_11vs00,Combination — All,BN-1 TV + S:N TV + S:N-1 TV,-70.5231808953433,-72.3933013206561,-68.526375622784,10.2152420536116,-74.0221605195642,-63.8069184659526,,,3.95160096245259e-292,4.93950120306574e-291,100,,,,,,,***
GRF,seller_total_value_11vs00,Combination — Seller,S:N + S:N-1: Total Value,-49.2257861851111,-56.2865638611874,-41.0245220637995,12.2438078201126,-54.3401349906903,-42.0963271705778,,,7.17587203524069e-19,2.24246001101272e-18,76.8281938325991,,,,,,,***
GRF,comboB_lowTV_all_11vs00,Strategy,BN-1 TV ↓ + S:N TV ↓ + S:N-1 TV ↓,240.020852871236,218.501103026099,262.994599669592,100.99581663324,181.530706302597,282.526522935837,,,1.12102829297168e-294,2.8025707324292e-293,100,,,,,,,***
GRF,comboB_BN1_lowTV_highFees_11vs00,Strategy,BN-1 TV ↓ + BN-1 GL ↑ + BN-1 GP ↑,289.530864037083,234.578160390477,353.509260318698,10.0212615824391,272.241055915347,282.262317497786,,,9.14614333585836e-69,7.6217861132153e-68,100,,,,,,,***
GRF,comboB_SN_lowTV_highFees_11vs00,Strategy,S:N TV ↓ + S:N GL ↑ + S:N GP ↑,99.2955048475976,65.8192667362831,139.530056031588,5.41936763869839,97.3181148262069,102.737482464905,,,1.97731399695217e-13,4.11940416031701e-13,100,,,,,,,***
GRF,comboB_mix_lowTV_highFees_11vs00,Strategy,"BN-1 (TV ↓, GL ↑, GP ↑) + S:N (TV ↓, GL ↑, GP ↑)",726.206407593853,477.692639487721,1081.62666665523,87.2608081744463,694.428134252333,781.688942426779,,,6.02125218188481e-31,3.01062609094241e-30,100,,,,,,,***
