treatment,covariate,method,n_obs,coef_log,se_log,z_or_t,p_value,ci_lo_log,ci_hi_log,coef_pct,ci_lo_pct,ci_hi_pct,r2_tau,r2_tau_oos
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2022-11`,grf_blp_single,2730,0.142722344713001,0.276857147122102,0.515508977090112,0.60619739811723,-0.399917663646319,0.685362353072321,15.3409506954628,-32.9624759983766,98.4490791606655,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2022-12`,grf_blp_single,2730,-1.02506605306958,0.45340989768542,-2.26079328727132,0.0237720604767281,-1.913749452533,-0.136382653606152,-64.1227233419243,-85.2473794198614,-12.7491299997896,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2023-01`,grf_blp_single,2730,-0.0555367234902113,0.326026349112968,-0.170344279354452,0.864739390201374,-0.694548367751628,0.583474920771205,-5.40227165549613,-50.0700102993623,79.2255568565892,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2023-02`,grf_blp_single,2730,-0.33812320376635,0.299814857029064,-1.12777334357907,0.259415653740966,-0.925760323543316,0.249513916010617,-28.6892575034696,-60.3769958511838,28.3401424159403,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2023-03`,grf_blp_single,2730,0.387504185721009,0.522438052423189,0.741722743823262,0.458255336839266,-0.636474397028441,1.41148276847046,47.3299120425189,-47.0845271275423,310.20332625156,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2023-04`,grf_blp_single,2730,0.484435477049954,0.366062190722452,1.32336933266417,0.185712585128803,-0.233046416766052,1.20191737086596,62.3258383529203,-20.7883194829445,232.64889249894,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2023-05`,grf_blp_single,2730,-0.538463734060898,0.495874423076671,-1.0858872912218,0.277528860227499,-1.51037760329117,0.433450135169377,-41.6355803306657,-77.9173422628193,54.2570429646605,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2023-06`,grf_blp_single,2730,-0.0565970413998894,0.266632063453947,-0.212266449378714,0.831899168524545,-0.579195885769626,0.466001802969848,-5.50252216297799,-43.9651230126894,59.3609872576444,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2023-07`,grf_blp_single,2730,-0.25953713160044,0.179458899471664,-1.44622045696552,0.148115377684293,-0.611276574564901,0.0922023113640213,-22.8591436172384,-45.7342316279245,9.65866515819949,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2023-08`,grf_blp_single,2730,-0.166890310189848,0.284079229532083,-0.587478044293272,0.556882691925139,-0.72368560007273,0.389904979693035,-15.3707564097232,-51.503841631208,47.6840457381741,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2023-09`,grf_blp_single,2730,-0.236886071145938,0.513396065631194,-0.461409985397334,0.644504488833425,-1.24314235978308,0.769370217491203,-21.0918817988419,-71.1523704133255,115.840649899503,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2023-10`,grf_blp_single,2730,-0.158327172413287,0.179214207068463,-0.8834521269444,0.376992037337143,-0.509587018267474,0.192932673440899,-14.642952843145,-39.9256376267737,21.2801137042895,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2023-11`,grf_blp_single,2730,0.104631715392648,0.167561264108282,0.624438565497048,0.532339604515629,-0.223788362259585,0.433051793044881,11.0301628050255,-20.0515682479579,54.1956081233024,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2023-12`,grf_blp_single,2730,0.119094088132134,0.167304910840326,0.711838567881583,0.476564746891615,-0.208823537114905,0.447011713379173,12.6475901315851,-18.8461570578533,56.3632614600852,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2024-01`,grf_blp_single,2730,0.0842607720243576,0.128188718752412,0.657318154393149,0.510976365654341,-0.166989116730369,0.335510660779084,8.79125539809258,-15.3791179194165,39.8654440853283,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2024-02`,grf_blp_single,2730,0.223649195907483,0.129540928226464,1.7264751686548,0.0842619628288199,-0.030251023416386,0.477549415231353,25.0632215566313,-2.97980404320743,61.2118923475336,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2024-03`,grf_blp_single,2730,0.252913431261417,0.113854754184966,2.22136908618273,0.0263259730736825,0.029758113058884,0.476068749463949,28.7771791229566,3.02053106014921,60.9733680481964,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2024-04`,grf_blp_single,2730,0.218474815816948,0.128033017803107,1.70639433144445,0.0879346853078624,-0.0324698990771415,0.469419530711038,24.4177682634099,-3.1948411361056,59.9065715228229,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2024-05`,grf_blp_single,2730,0.389505187170321,0.107841828613546,3.61181920019293,0.000304056528650414,0.17813520308777,0.600875171252871,47.6250145618615,19.4986876228699,82.3714164390455,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2024-06`,grf_blp_single,2730,0.233056838325917,0.171688291892873,1.35744165054269,0.17464092167996,-0.103452213784114,0.569565890435948,26.2453233016375,-9.82808885435474,76.749959638675,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2024-07`,grf_blp_single,2730,0.609352037273476,0.202874913283817,3.00358495493727,0.00266819043920019,0.211717207237195,1.00698686730976,83.9239254108869,23.579836082664,173.734060594817,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2024-08`,grf_blp_single,2730,0.0199571605019918,0.347456564880469,0.0574378570422388,0.954196407206162,-0.661057706663728,0.700972027667712,2.01576360496167,-48.3695053598848,101.571108246121,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2024-09`,grf_blp_single,2730,0.0139504964381687,0.391526871619152,0.0356310063226995,0.971576584542481,-0.753442171935369,0.781343164811706,1.4048258695283,-52.9256618929367,118.440431095226,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2024-10`,grf_blp_single,2730,-0.0877476156965497,0.235313301984559,-0.372896963140263,0.709225132336155,-0.548961687586286,0.373466456193186,-8.40079704372283,-42.2450824358958,45.2761831563942,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2024-11`,grf_blp_single,2730,0.31664534819891,0.261386105378698,1.21140849373058,0.225738885708184,-0.195671418343338,0.828962114741158,37.2515720426907,-17.7717622800438,129.093977331076,0.800861714312945,0.837497144831612
