treatment,model,n_used,treated_share,overlap_alpha,target_primary,ATE_log,SE_log,CI95_lo_log,CI95_hi_log,z_or_t,p_value,ATE_pp,CI95_lo_pp,CI95_hi_pp,ATE_pct,CI95_lo_pct,CI95_hi_pct,top_importances,calib_intercept,calib_slope,calib_p_slope,AIPW_log,AIPW_se_log,q_value_bh
seller_N_gaslimit_cost_high,PDS,3238,0.437615812229771,0.05,,0.00540863002205349,0.024726922376857,-0.0430552472851038,0.0538725073292108,0.21873446034334,0.826856903458062,0.540863002205349,-4.30552472851038,5.38725073292108,0.542328306713324,-4.2141530474769,5.53500441819343,,,,,,,0.861309274435482
seller_N_1_gaslimit_cost_high,PDS,3238,0.437306979617048,0.05,,-0.0222023020031424,0.0260833899601187,-0.0733248069196886,0.0289202029134038,-0.851204618613209,0.394655697631897,-2.22023020031424,-7.33248069196886,2.89202029134038,-2.1957644891466,-7.07010617254289,2.93424526690032,,,,,,,0.428973584382496
buyer_N_Tvalue_Gaspaid_11vs00,PDS,2810,0.500355871886121,0.05,,0.00374851100852494,0.0243434663523943,-0.0439638063010305,0.0514608283180804,0.153984274641161,0.877622134717201,0.374851100852494,-4.39638063010305,5.14608283180804,0.375554546274559,-4.30114061966842,5.28079452264447,,,,,,,0.877622134717201
buyer_N_Tvalue_Gaslimit_11vs00,PDS,1844,0.501084598698482,0.05,,0.111437602856466,0.0537973060047201,0.00599682062193382,0.216878385090997,2.0714346336727,0.0383181971293451,11.1437602856466,0.599682062193382,21.6878385090997,11.7883989061578,0.601483754747156,24.219302375971,,,,,,,0.0684253520166877
buyer_N_1_Tvalue_Gaspaid_11vs00,PDS,2730,0.48974358974359,0.05,,-0.0414719299979682,0.0223705356583907,-0.0853173742032829,0.00237351420734654,-1.85386396782202,0.0637586240249304,-4.14719299979682,-8.53173742032829,0.237351420734654,-4.06237353427842,-8.17791814486926,0.237633322207542,,,,,,,0.106264373374884
buyer_N_1_Tvalue_Gaslimit_11vs00,PDS,1574,0.5,0.05,,-0.0608534139354162,0.0528260663484623,-0.164390601423326,0.0426837735524932,-1.15195807944514,0.249338299969426,-6.08534139354162,-16.4390601423326,4.26837735524932,-5.9038838539351,-15.1589433223944,4.36078262696642,,,,,,,0.311672874961783
buyer_N_1_Tvalue_Gaspaid_Gaslimit_11vs00,PDS,1342,0.492548435171386,0.05,,0.0440194592961023,0.035474335331193,-0.0255089603285328,0.113547878920737,1.24088186248258,0.214649393966647,4.40194592961023,-2.55089603285328,11.3547878920737,4.50026897073592,-2.51863557239027,12.0245523755019,,,,,,,0.298124158287009
seller_N_Tvalue_Gaslimit_11vs00,PDS,1988,0.399396378269618,0.05,,0.062994879836824,0.0608976123390974,-0.0563622470922888,0.182352006765937,1.03443924017987,0.300930867835602,6.2994879836824,-5.63622470922888,18.2352006765937,6.50213861340623,-5.48033208814954,20.0036540522705,,,,,,,0.358251033137622
seller_N_1_Tvalue_Gaspaid_11vs00,PDS,2559,0.449003516998828,0.05,,-0.0748159712868853,0.028640544856488,-0.130950407703206,-0.0186815348705649,-2.61223980415781,0.00899511345470711,-7.48159712868853,-13.0950407703206,-1.86815348705649,-7.20857665208502,-12.2738721286005,-1.85081165836917,,,,,,,0.0187398196973065
combo_all_TV_BN1_SN_SN1_11vs00,PDS,1660,0.509036144578313,0,,-0.866225132725243,0.0776023051663313,-1.01832285596854,-0.714127409481947,-11.1623634229498,6.23126430773442e-29,-86.6225132725243,-101.832285596854,-71.4127409481947,-57.9463975549115,-63.8799782748693,-51.0380837512314,,,,,,,7.78908038466803e-28
seller_total_value_11vs00,PDS,1744,0.349197247706422,0.05,,-0.230714849278654,0.0561176638735299,-0.340703449367298,-0.120726249190011,-4.11126966722291,3.93489294453424e-05,-23.0714849278654,-34.0703449367298,-12.0726249190011,-20.6034166310541,-28.8730195555312,-11.3723454690505,,,,,,,0.000140531890876223
comboB_lowTV_all_11vs00,PDS,1660,0.490963855421687,0,,0.866225132725248,0.0776023051663313,0.714127409481952,1.01832285596854,11.1623634229498,6.23126430773006e-29,86.6225132725248,71.4127409481952,101.832285596854,137.791756676674,104.240372235258,176.854761497624,,,,,,,7.78908038466803e-28
comboB_BN1_lowTV_highFees_11vs00,PDS,627,0.516746411483254,0,,0.947679804601243,0.132082000460099,0.688803840693447,1.20655576850904,7.17493527732821,7.23414014344825e-13,94.7679804601243,68.8803840693447,120.655576850904,157.971726211623,99.1332157586039,234.195434303024,,,,,,,6.02845011954021e-12
comboB_SN_lowTV_highFees_11vs00,PDS,499,0.49498997995992,0,,0.401012261393566,0.129576388245054,0.14704720718648,0.654977315600652,3.09479425090297,0.00196949467761409,40.1012261393566,14.704720718648,65.4977315600652,49.3335578762963,15.8408646952125,92.5098847170015,,,,,,,0.00492373669403523
comboB_mix_lowTV_highFees_11vs00,PDS,105,0.60952380952381,0,,2.0119903961825,0.415873255955531,1.19689379237625,2.82708699998875,4.83798938106671,1.31159146980659e-06,201.19903961825,119.689379237625,282.708699998875,647.818709911558,230.9819950785,1589.61705231474,,,,,,,6.55795734903296e-06
