condition,nuisance_spec,treatment,treatment_var,split_rule,cutoff_raw,share_high,ATE_log,SE_log,ATE_pct,CI95_lo_pct,CI95_hi_pct,p_value,kept_pct,alpha,n_kept,calib_intercept,calib_slope,calib_p_slope,r2_tau,r2_tau_oos
base,BASE_M2V11,buyer_N_1_gaslimit_cost_high,log_buyern_1_avg_gasLimit_cost,median,0.00953193423098029,0.5,0.163142116114958,0.0378174459302263,17.720397745683,9.31024329963339,26.7776159587808,1.60371957374377e-05,81.2913907284768,0.1,6383,,,,0.612435114640598,0.646545613594182
base,TEMPORAL_AUG_M2V11,seller_N_total_value_high,log_sellern_total_value,median,1906.9973705057,0.5,-0.0253062547350589,0.0346351996716505,-2.49887355169293,-8.89807452369661,4.34982146630372,0.46499215013039,78.09475292919,0.1,6132,,,,0.704504647853254,0.746927867397677
base,TEMPORAL_AUG_M2V11,seller_N_1_total_value_high,log_sellern_1_total_value,median,1642.14456853104,0.5,-0.296810692677911,0.0246874787089632,-25.6815310650714,-29.1919967163471,-21.9970262018803,2.69930438882215e-33,87.9011716760061,0.1,6902,,,,0.818023833309416,0.889327171109495
base,TEMPORAL_AUG_M2V11,buyer_N_total_value_high,log_buyern_total_value,median,1229.58184288379,0.5,0.0353446925897218,0.0227544879901831,3.59767407686182,-0.921141643129375,8.32258518238613,0.120349943975071,94.4854814060112,0.1,7419,,,,0.704312128181386,0.791520166395551
base,TEMPORAL_AUG_M2V11,seller_N_gaspaid_high,log_sellern_avg_total_gaspaid,median,5.61599541689834,0.500127356087621,0.0149320474776197,0.0358234166035174,1.50440874660893,-5.37815804104272,8.8875970039529,0.676807398087991,70.0458481915436,0.1,5500,,,,0.644455364058129,0.699683326420036
base,TEMPORAL_AUG_M2V11,seller_N_1_gaspaid_high,log_sellern_1_avg_total_gaspaid,median,10.8480716092354,0.500127356087621,0.311723956948508,0.0280756842145215,36.5777627564751,29.2651604260765,44.304043085387,1.21320218734733e-28,85.6597045338767,0.1,6726,,,,0.824793760109527,0.90213965972483
base,TEMPORAL_AUG_M2V11,buyer_N_gaspaid_high,log_buyern_avg_total_gaspaid,median,3.46729081424735,0.5,-0.0749972634578085,0.0215850972275116,-7.22539748587802,-11.0685247677625,-3.21619146453487,0.000511820227203507,97.8476821192053,0.1,7683,,,,0.695374582051997,0.767418894397635
base,TEMPORAL_AUG_M2V11,seller_N_gaslimit_cost_high,log_sellern_avg_gasLimit_cost,median,0.00956156336104991,0.5,0.11350869935838,0.0344894984429873,12.0201633885464,4.69794271983692,19.8544754520672,0.00099793231304559,81.0876209882832,0.1,6367,,,,0.670156518893512,0.700290965653232
base,TEMPORAL_AUG_M2V11,seller_N_1_gaslimit_cost_high,log_sellern_1_avg_gasLimit_cost,median,0.0118090180096206,0.5,0.0250272628273974,0.0245811777412442,2.53430738946299,-2.28858979157764,7.5952559625496,0.308607900210014,89.2384105960265,0.1,7007,,,,0.644183433572613,0.751878452125184
base,TEMPORAL_AUG_M2V11,buyer_N_gaslimit_cost_high,log_buyern_avg_gasLimit_cost,median,0.00888618319718131,0.5,0.195082794809683,0.0207623583825438,21.5411612097144,16.6944240993202,26.5892006599469,5.66852649380963e-21,99.3250127356088,0.1,7799,,,,0.794479552973551,0.864562559191104
base,TEMPORAL_AUG_M2V11,buyer_N_1_total_value_high,log_buyern_1_total_value,median,2081.83465951533,0.501018848700968,-0.35048275852292,0.032859898012204,-29.5652022359991,-33.9585861801185,-24.8795498293496,1.46855100369963e-26,79.9923586347428,0.1,6281,,,,0.822018207085857,0.883809805332568
base,TEMPORAL_AUG_M2V11,buyer_N_1_gaspaid_high,log_buyern_1_avg_total_gaspaid,median,7.94019297491906,0.5,0.276097347521235,0.0327628576802688,31.7976159494752,23.6002209268432,40.5386773559792,3.54201283841778e-17,79.763117677025,0.1,6263,,,,0.773107257682725,0.845715446274687
base,TEMPORAL_AUG_M2V11,buyer_N_1_gaslimit_cost_high,log_buyern_1_avg_gasLimit_cost,median,0.00953193423098029,0.5,0.117728029574097,0.0336598803698776,12.4938119859335,5.31173432725671,20.1656948863983,0.000469504834510079,81.3550687722873,0.1,6388,,,,0.636737073285161,0.657220111673808
samp,BASE_M2V11,seller_N_total_value_high,log_sellern_total_value,median,1762.46958490957,0.5,-0.153966319796358,0.0305536507133987,-14.2699105406067,-19.253169481022,-8.9791117313493,4.67452748182609e-07,100,0.1,4206,,,,0.713777653516748,0.732197146693038
samp,BASE_M2V11,seller_N_1_total_value_high,log_sellern_1_total_value,median,1306.24452976845,0.5,-0.227300074545707,0.030812708568698,-20.33183174759,-25.0008183121788,-15.3721828710969,1.62104291472538e-13,98.5496909177366,0.1,4145,,,,0.812556172676759,0.953787417234536
samp,BASE_M2V11,buyer_N_total_value_high,log_buyern_total_value,median,799.667736908218,0.5,0.0667895018739207,0.0292644090158727,6.90704171685104,0.947587468394095,13.2183131392506,0.0224729628130619,100,0.1,4206,,,,0.781864997688871,0.803938450944583
samp,BASE_M2V11,seller_N_gaspaid_high,log_sellern_avg_total_gaspaid,median,6.7019714396823,0.5,0.219792873891032,0.0337870523742548,24.5818662289963,16.5989696464043,33.1113082745681,7.75696005846102e-11,100,0.1,4206,,,,0.815509650610354,0.940255302634317
samp,BASE_M2V11,seller_N_1_gaspaid_high,log_sellern_1_avg_total_gaspaid,median,8.47635829037632,0.500475511174513,0.279103511075229,0.0337800995393721,32.1944172650474,23.7254133817773,41.2431244187646,1.42814252059045e-16,98.8587731811698,0.1,4158,,,,0.809984334382441,0.957137471121128
samp,BASE_M2V11,buyer_N_gaspaid_high,log_buyern_avg_total_gaspaid,median,3.26250570589215,0.5,-0.0946272538799556,0.0300944708130236,-9.02880371169345,-14.2395650248529,-3.50143913654508,0.00166461807343349,100,0.1,4206,,,,0.760101980428555,0.838840437008944
samp,BASE_M2V11,seller_N_gaslimit_cost_high,log_sellern_avg_gasLimit_cost,median,0.0103419376233987,0.5,0.0751412681660042,0.030711618353013,7.80364323578009,1.50587536562763,14.4921459279659,0.0144181834775357,98.5021398002853,0.1,4143,,,,0.626947566689744,0.658807677798679
samp,BASE_M2V11,seller_N_1_gaslimit_cost_high,log_sellern_1_avg_gasLimit_cost,median,0.0111078712655934,0.5,0.0289412124319253,0.0297852030932814,2.9364078885505,-2.90087146277247,9.1246052217204,0.331217684228635,99.9286733238231,0.1,4203,,,,0.724069876235949,0.740317537780442
