K,stub,ATE_pct,CI_lower_pct,CI_upper_pct,kept_pct,n_kept,q_value_bh,combo,combo_short,rank_k,gates_dec,n,mean_pct,lo_pct,hi_pct
2,Earring_No_Fur_Black,-8.15057470466444,-12.0763735407286,-4.04948855252959,100,9254,0.00157620419836875,Earring_No+Fur_Black,Ear:No+Fur:Black,3,4,926,-8.63386295725963,-8.64163294166152,-8.62669851632973
2,Earring_No_Fur_Black,-8.15057470466444,-12.0763735407286,-4.04948855252959,100,9254,0.00157620419836875,Earring_No+Fur_Black,Ear:No+Fur:Black,3,5,925,-8.25465036427432,-8.26143231370012,-8.24754515982407
2,Earring_No_Fur_Black,-8.15057470466444,-12.0763735407286,-4.04948855252959,100,9254,0.00157620419836875,Earring_No+Fur_Black,Ear:No+Fur:Black,3,6,925,-7.85759779912794,-7.8646591537327,-7.85022295446785
2,Earring_No_Fur_Black,-8.15057470466444,-12.0763735407286,-4.04948855252959,100,9254,0.00157620419836875,Earring_No+Fur_Black,Ear:No+Fur:Black,3,7,926,-7.44306759792563,-7.45098252802786,-7.43486911625215
2,Earring_No_Fur_Black,-8.15057470466444,-12.0763735407286,-4.04948855252959,100,9254,0.00157620419836875,Earring_No+Fur_Black,Ear:No+Fur:Black,3,8,925,-6.53863683467163,-6.5739181409132,-6.50154300953707
2,Earring_No_Fur_Black,-8.15057470466444,-12.0763735407286,-4.04948855252959,100,9254,0.00157620419836875,Earring_No+Fur_Black,Ear:No+Fur:Black,3,9,925,-4.82241989536179,-4.84800842269216,-4.79535200517356
2,Earring_No_Fur_Black,-8.15057470466444,-12.0763735407286,-4.04948855252959,100,9254,0.00157620419836875,Earring_No+Fur_Black,Ear:No+Fur:Black,3,10,926,-2.91478042064704,-2.96477737343073,-2.8584272763402
2,Earring_No_Mouth_Bored,-6.25178920889989,-9.46683637065663,-2.92256810427025,100,9254,0.0028362019948967,Earring_No+Mouth_Bored,Ear:No+Mouth:Bored,4,1,926,-9.48364101235971,-9.51179309805352,-9.451248453223
2,Earring_No_Mouth_Bored,-6.25178920889989,-9.46683637065663,-2.92256810427025,100,9254,0.0028362019948967,Earring_No+Mouth_Bored,Ear:No+Mouth:Bored,4,2,925,-8.3795900276052,-8.39591053426889,-8.3621348794218
2,Earring_No_Mouth_Bored,-6.25178920889989,-9.46683637065663,-2.92256810427025,100,9254,0.0028362019948967,Earring_No+Mouth_Bored,Ear:No+Mouth:Bored,4,3,925,-7.72941959604645,-7.73993494208499,-7.71938900088679
2,Earring_No_Mouth_Bored,-6.25178920889989,-9.46683637065663,-2.92256810427025,100,9254,0.0028362019948967,Earring_No+Mouth_Bored,Ear:No+Mouth:Bored,4,4,926,-7.1732761348116,-7.18502119040026,-7.16328421483744
